Symbol	Name	LastSale	MarketCap	ADR TSO	IPOyear	Sector	Industry	Summary Quote
SCZ	iShares MSCI EAFE Small-Cap ETF	56.68	9397544000	n/a	n/a	n/a	n/a	https://www.nasdaq.com/symbol/scz
ZS	Zscaler, Inc.	73.82	9276363524.96	n/a	2018	Technology	EDP Services	https://www.nasdaq.com/symbol/zs
SRPT	Sarepta Therapeutics, Inc.	124.16	9206944250.88	n/a	n/a	Health Care	Major Pharmaceuticals	https://www.nasdaq.com/symbol/srpt
QGEN	Qiagen N.V.	40.37	9162617420	n/a	n/a	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	https://www.nasdaq.com/symbol/qgen
TW	Tradeweb Markets Inc.	41.09	9131110074.73	n/a	2019	Finance	Investment Bankers/Brokers/Service	https://www.nasdaq.com/symbol/tw
SAGE	Sage Therapeutics, Inc.	178.2	9114519783.6	n/a	2014	Health Care	Major Pharmaceuticals	https://www.nasdaq.com/symbol/sage
BYND	Beyond Meat, Inc.	150.6	9054493228.2	n/a	2019	Consumer Non-Durables	Packaged Foods	https://www.nasdaq.com/symbol/bynd
VMBS	Vanguard Mortgage-Backed Securities ETF	52.8	9053106216	n/a	n/a	n/a	n/a	https://www.nasdaq.com/symbol/vmbs
IONS	Ionis Pharmaceuticals, Inc.	64.46	9045220193.24	n/a	n/a	Health Care	Major Pharmaceuticals	https://www.nasdaq.com/symbol/ions
AGNC	AGNC Investment Corp.	16.86	9043913131.44	n/a	2008	Consumer Services	Real Estate Investment Trusts	https://www.nasdaq.com/symbol/agnc
UBNT	Ubiquiti Networks, Inc.	127.9	9027349549	n/a	2011	Technology	Radio And Television Broadcasting And Communications Equipment	https://www.nasdaq.com/symbol/ubnt
AGNCB	AGNC Investment Corp.	25.86	9020023780.02	n/a	n/a	Consumer Services	Real Estate Investment Trusts	https://www.nasdaq.com/symbol/agncb
CACC	Credit Acceptance Corporation	469.63	8827656243.35	n/a	1992	Finance	Finance: Consumer Services	https://www.nasdaq.com/symbol/cacc
MDB	MongoDB, Inc.	158.59	8774572665.17	n/a	2017	Technology	Computer Software: Prepackaged Software	https://www.nasdaq.com/symbol/mdb
DOCU	DocuSign, Inc.	49.83	8660454000	n/a	2018	Technology	Computer Software: Prepackaged Software	https://www.nasdaq.com/symbol/docu
ZG	Zillow Group, Inc.	42.19	8656085257.18	n/a	2011	Miscellaneous	Business Services	https://www.nasdaq.com/symbol/zg
DOX	Amdocs Limited	62.12	8518577720	n/a	n/a	Technology	EDP Services	https://www.nasdaq.com/symbol/dox
FWONK	Liberty Media Corporation	36.49	8433875170.04	n/a	n/a	Consumer Services	Broadcasting	https://www.nasdaq.com/symbol/fwonk
FFIV	F5 Networks, Inc.	141.02	8418222180.72	n/a	1999	Technology	Computer Communications Equipment	https://www.nasdaq.com/symbol/ffiv
OLED	Universal Display Corporation	177.87	8388516397.8	n/a	n/a	Capital Goods	Electrical Products	https://www.nasdaq.com/symbol/oled
GLPI	Gaming and Leisure Properties, Inc.	39.06	8384592726.72	n/a	n/a	Consumer Services	Real Estate Investment Trusts	https://www.nasdaq.com/symbol/glpi
EEFT	Euronet Worldwide, Inc.	161.23	8374437111.28	n/a	1997	Finance	Investment Bankers/Brokers/Service	https://www.nasdaq.com/symbol/eeft
STNE	StoneCo Ltd.	28.2	8365523175.6	n/a	2018	Technology	EDP Services	https://www.nasdaq.com/symbol/stne
AZPN	Aspen Technology, Inc.	119.94	8271550915.62	n/a	1994	Technology	EDP Services	https://www.nasdaq.com/symbol/azpn
LKQ	LKQ Corporation	26.27	8248626478.12	n/a	n/a	Consumer Services	Motor Vehicles	https://www.nasdaq.com/symbol/lkq
SEIC	SEI Investments Company	54.02	8239140285.66	n/a	1981	Finance	Investment Bankers/Brokers/Service	https://www.nasdaq.com/symbol/seic
FWONA	Liberty Media Corporation	35.19	8133408255.24	n/a	n/a	Consumer Services	Broadcasting	https://www.nasdaq.com/symbol/fwona
CY	Cypress Semiconductor Corporation	22.17	8112753410.16	n/a	1986	Technology	Semiconductors	https://www.nasdaq.com/symbol/cy
ZION	Zions Bancorporation N.A.	43.99	8031048822.71	n/a	n/a	Finance	Major Banks	https://www.nasdaq.com/symbol/zion
NWS	News Corporation	13.66	7993312428.24	n/a	n/a	Consumer Services	Newspapers/Magazines	https://www.nasdaq.com/symbol/nws
ICLR	ICON plc	147.96	7986343261.32	n/a	1998	Health Care	Biotechnology: Commercial Physical & Biological Resarch	https://www.nasdaq.com/symbol/iclr
